shipment_id,step,timestamp,hour,lat,lon,temperature_c,temp_threshold_c,temp_alert,interval_co2_kg,cumulative_co2_kg,distance_km
A-1041,0,2026-07-07T11:42:06,0.0,52.5201,13.40519,5.07,8.0,False,4.161,4.161,0.0
A-1041,1,2026-07-07T11:47:06,0.083,52.51643,13.34359,4.87,8.0,False,3.859,8.02,4.51
A-1041,2,2026-07-07T11:52:06,0.167,52.51195,13.28118,4.51,8.0,False,4.081,12.101,9.03
A-1041,3,2026-07-07T11:57:06,0.25,52.50751,13.21965,5.04,8.0,False,4.151,16.252,13.54
A-1041,4,2026-07-07T12:02:06,0.333,52.50317,13.15674,5.0,8.0,False,4.132,20.384,18.06
A-1041,5,2026-07-07T12:07:06,0.417,52.49966,13.09492,5.09,8.0,False,4.288,24.672,22.57
A-1041,6,2026-07-07T12:12:06,0.5,52.4958,13.03311,5.06,8.0,False,3.774,28.446,27.08
A-1041,7,2026-07-07T12:17:06,0.583,52.49174,12.97072,5.03,8.0,False,3.876,32.322,31.6
A-1041,8,2026-07-07T12:22:06,0.667,52.48748,12.9094,5.26,8.0,False,3.895,36.217,36.11
A-1041,9,2026-07-07T12:27:06,0.75,52.48245,12.84633,5.27,8.0,False,4.079,40.296,40.62
A-1041,10,2026-07-07T12:32:06,0.833,52.47836,12.7849,5.21,8.0,False,3.759,44.055,45.14
A-1041,11,2026-07-07T12:37:06,0.917,52.47504,12.72341,5.27,8.0,False,4.101,48.156,49.65
A-1041,12,2026-07-07T12:42:06,1.0,52.46982,12.66055,5.33,8.0,False,3.775,51.931,54.17
A-1041,13,2026-07-07T12:47:06,1.083,52.46591,12.59863,5.34,8.0,False,3.863,55.794,58.68
A-1041,14,2026-07-07T12:52:06,1.167,52.46232,12.53701,5.05,8.0,False,4.088,59.882,63.19
A-1041,15,2026-07-07T12:57:06,1.25,52.45837,12.4748,5.28,8.0,False,3.783,63.665,67.71
A-1041,16,2026-07-07T13:02:06,1.333,52.4538,12.4129,5.28,8.0,False,4.305,67.97,72.22
A-1041,17,2026-07-07T13:07:06,1.417,52.44899,12.35114,5.18,8.0,False,4.026,71.996,76.74
A-1041,18,2026-07-07T13:12:06,1.5,52.44528,12.28965,5.26,8.0,False,4.059,76.055,81.25
A-1041,19,2026-07-07T13:17:06,1.583,52.44158,12.22642,5.19,8.0,False,3.794,79.849,85.76
A-1041,20,2026-07-07T13:22:06,1.667,52.43742,12.16543,5.12,8.0,False,4.067,83.916,90.28
A-1041,21,2026-07-07T13:27:06,1.75,52.4328,12.10364,5.39,8.0,False,4.363,88.279,94.79
A-1041,22,2026-07-07T13:32:06,1.833,52.42898,12.04042,5.06,8.0,False,3.949,92.228,99.31
A-1041,23,2026-07-07T13:37:06,1.917,52.4243,11.97866,5.58,8.0,False,4.2,96.428,103.82
A-1041,24,2026-07-07T13:42:06,2.0,52.42091,11.91681,5.14,8.0,False,4.365,100.793,108.33
A-1041,25,2026-07-07T13:47:06,2.083,52.41707,11.85503,5.15,8.0,False,4.264,105.057,112.85
A-1041,26,2026-07-07T13:52:06,2.167,52.41307,11.79366,5.4,8.0,False,4.07,109.127,117.36
A-1041,27,2026-07-07T13:57:06,2.25,52.40883,11.73131,5.15,8.0,False,4.206,113.333,121.88
A-1041,28,2026-07-07T14:02:06,2.333,52.4038,11.66855,5.39,8.0,False,4.11,117.443,126.39
A-1041,29,2026-07-07T14:07:06,2.417,52.39962,11.60669,5.7,8.0,False,4.355,121.798,130.9
A-1041,30,2026-07-07T14:12:06,2.5,52.3953,11.54576,5.49,8.0,False,4.385,126.183,135.42
A-1041,31,2026-07-07T14:17:06,2.583,52.39204,11.48244,5.2,8.0,False,4.348,130.531,139.93
A-1041,32,2026-07-07T14:22:06,2.667,52.38752,11.42176,5.52,8.0,False,3.763,134.294,144.44
A-1041,33,2026-07-07T14:27:06,2.75,52.38282,11.35956,5.38,8.0,False,4.252,138.546,148.96
A-1041,34,2026-07-07T14:32:06,2.833,52.37898,11.29661,5.25,8.0,False,4.219,142.765,153.47
A-1041,35,2026-07-07T14:37:06,2.917,52.37577,11.23584,5.77,8.0,False,4.228,146.993,157.99
A-1041,36,2026-07-07T14:42:06,3.0,52.37158,11.17248,5.91,8.0,False,4.14,151.133,162.5
A-1041,37,2026-07-07T14:47:06,3.083,52.36671,11.11064,5.54,8.0,False,3.954,155.087,167.01
A-1041,38,2026-07-07T14:52:06,3.167,52.3626,11.04918,5.4,8.0,False,3.791,158.878,171.53
A-1041,39,2026-07-07T14:57:06,3.25,52.35826,10.98665,5.58,8.0,False,3.803,162.681,176.04
A-1041,40,2026-07-07T15:02:06,3.333,52.35443,10.92466,5.62,8.0,False,4.037,166.718,180.56
A-1041,41,2026-07-07T15:07:06,3.417,52.35062,10.86282,5.31,8.0,False,3.753,170.471,185.07
A-1041,42,2026-07-07T15:12:06,3.5,52.34568,10.80097,5.46,8.0,False,3.937,174.408,189.58
A-1041,43,2026-07-07T15:17:06,3.583,52.34263,10.7385,5.68,8.0,False,4.029,178.437,194.1
A-1041,44,2026-07-07T15:22:06,3.667,52.33784,10.6769,5.55,8.0,False,3.765,182.202,198.61
A-1041,45,2026-07-07T15:27:06,3.75,52.33338,10.61591,5.43,8.0,False,3.962,186.164,203.12
A-1041,46,2026-07-07T15:32:06,3.833,52.32919,10.5539,5.27,8.0,False,3.953,190.117,207.64
A-1041,47,2026-07-07T15:37:06,3.917,52.32605,10.49057,5.19,8.0,False,3.892,194.009,212.15
A-1041,48,2026-07-07T15:42:06,4.0,52.32189,10.42926,5.64,8.0,False,4.307,198.316,216.67
A-1041,49,2026-07-07T15:47:06,4.083,52.31672,10.36742,5.4,8.0,False,3.86,202.176,221.18
A-1041,50,2026-07-07T15:52:06,4.167,52.31276,10.3058,5.26,8.0,False,3.922,206.098,225.69
A-1041,51,2026-07-07T15:57:06,4.25,52.30939,10.24384,5.75,8.0,False,4.145,210.243,230.21
A-1041,52,2026-07-07T16:02:06,4.333,52.30454,10.1815,5.94,8.0,False,4.026,214.269,234.72
A-1041,53,2026-07-07T16:07:06,4.417,52.30064,10.11868,5.49,8.0,False,4.237,218.506,239.24
A-1041,54,2026-07-07T16:12:06,4.5,52.29616,10.05686,5.72,8.0,False,3.987,222.493,243.75
A-1041,55,2026-07-07T16:17:06,4.583,52.29248,9.9948,5.62,8.0,False,4.013,226.506,248.26
A-1041,56,2026-07-07T16:22:06,4.667,52.28875,9.93269,5.76,8.0,False,4.325,230.831,252.78
A-1041,57,2026-07-07T16:27:06,4.75,52.28484,9.87138,5.78,8.0,False,3.797,234.628,257.29
A-1041,58,2026-07-07T16:32:06,4.833,52.28064,9.80999,7.01,8.0,False,3.986,238.614,261.81
A-1041,59,2026-07-07T16:37:06,4.917,52.27609,9.74771,9.47,8.0,True,4.384,242.998,266.32
A-1041,60,2026-07-07T16:42:06,5.0,52.27182,9.6853,11.56,8.0,True,4.091,247.089,270.83
A-1041,61,2026-07-07T16:47:06,5.083,52.26738,9.62324,12.8,8.0,True,4.333,251.422,275.35
A-1041,62,2026-07-07T16:52:06,5.167,52.26318,9.56095,12.03,8.0,True,3.935,255.357,279.86
A-1041,63,2026-07-07T16:57:06,5.25,52.2599,9.49992,10.91,8.0,True,4.307,259.664,284.38
A-1041,64,2026-07-07T17:02:06,5.333,52.25573,9.43687,7.62,8.0,False,3.897,263.561,288.89
A-1041,65,2026-07-07T17:07:06,5.417,52.2513,9.37585,5.69,8.0,False,4.344,267.905,293.4
A-1041,66,2026-07-07T17:12:06,5.5,52.2468,9.31277,5.74,8.0,False,4.093,271.998,297.92
A-1041,67,2026-07-07T17:17:06,5.583,52.24256,9.25179,5.6,8.0,False,4.16,276.158,302.43
A-1041,68,2026-07-07T17:22:06,5.667,52.23892,9.1898,5.42,8.0,False,3.966,280.124,306.94
A-1041,69,2026-07-07T17:27:06,5.75,52.2343,9.12678,5.81,8.0,False,4.25,284.374,311.46
A-1041,70,2026-07-07T17:32:06,5.833,52.23105,9.06466,5.53,8.0,False,4.009,288.383,315.97
A-1041,71,2026-07-07T17:37:06,5.917,52.22607,9.00393,5.47,8.0,False,4.019,292.402,320.49
A-1041,72,2026-07-07T17:42:06,6.0,52.22222,8.94114,5.53,8.0,False,3.778,296.18,325.0
A-1041,73,2026-07-07T17:47:06,6.083,52.21736,8.87943,5.68,8.0,False,4.217,300.397,329.51
A-1041,74,2026-07-07T17:52:06,6.167,52.21417,8.81701,5.6,8.0,False,4.018,304.415,334.03
A-1041,75,2026-07-07T17:57:06,6.25,52.20955,8.7549,5.5,8.0,False,4.362,308.777,338.54
A-1041,76,2026-07-07T18:02:06,6.333,52.20597,8.69284,5.66,8.0,False,3.98,312.757,343.06
A-1041,77,2026-07-07T18:07:06,6.417,52.20123,8.63108,5.82,8.0,False,3.949,316.706,347.57
A-1041,78,2026-07-07T18:12:06,6.5,52.19751,8.56911,5.42,8.0,False,4.085,320.791,352.08
A-1041,79,2026-07-07T18:17:06,6.583,52.19337,8.50712,5.43,8.0,False,4.301,325.092,356.6
A-1041,80,2026-07-07T18:22:06,6.667,52.18973,8.44562,5.36,8.0,False,4.144,329.236,361.11
A-1041,81,2026-07-07T18:27:06,6.75,52.18467,8.38291,5.51,8.0,False,4.084,333.32,365.62
A-1041,82,2026-07-07T18:32:06,6.833,52.18041,8.3216,5.44,8.0,False,4.149,337.469,370.14
A-1041,83,2026-07-07T18:37:06,6.917,52.17626,8.25917,5.39,8.0,False,4.208,341.677,374.65
